ID,Calories_Burned
TEST_0000,173.83624
TEST_0001,193.26514
TEST_0002,53.005512
TEST_0003,162.13773
TEST_0004,225.0232
TEST_0005,178.45665
TEST_0006,97.34896
TEST_0007,45.90638
TEST_0008,78.841354
TEST_0009,58.482544
TEST_0010,123.67255
TEST_0011,54.587643
TEST_0012,13.573908
TEST_0013,170.0572
TEST_0014,226.43185
TEST_0015,13.392155
TEST_0016,98.18102
TEST_0017,129.17825
TEST_0018,158.61517
TEST_0019,6.70555
TEST_0020,51.846947
TEST_0021,87.91342
TEST_0022,23.978289
TEST_0023,87.85879
TEST_0024,20.266745
TEST_0025,127.238556
TEST_0026,103.70818
TEST_0027,189.96611
TEST_0028,122.436165
TEST_0029,100.17536
TEST_0030,25.196293
TEST_0031,244.57558
TEST_0032,54.01729
TEST_0033,47.298725
TEST_0034,131.30934
TEST_0035,113.43251
TEST_0036,38.237938
TEST_0037,129.24025
TEST_0038,11.511609
TEST_0039,129.2334
TEST_0040,204.38506
TEST_0041,167.06557
TEST_0042,144.10103
TEST_0043,59.851364
TEST_0044,66.80091
TEST_0045,52.659546
TEST_0046,76.16275
TEST_0047,198.90779
TEST_0048,140.38153
TEST_0049,126.69745
TEST_0050,10.96531
TEST_0051,111.7333
TEST_0052,162.14455
TEST_0053,93.925354
TEST_0054,67.36013
TEST_0055,87.5695
TEST_0056,164.8695
TEST_0057,17.74732
TEST_0058,30.840958
TEST_0059,95.905655
TEST_0060,39.7746
TEST_0061,111.787254
TEST_0062,91.031975
TEST_0063,50.733376
TEST_0064,34.546997
TEST_0065,136.05688
TEST_0066,234.05598
TEST_0067,127.646645
TEST_0068,102.75896
TEST_0069,43.717056
TEST_0070,127.26994
TEST_0071,26.026575
TEST_0072,9.28329
TEST_0073,155.07709
TEST_0074,31.334278
TEST_0075,91.17938
TEST_0076,63.979053
TEST_0077,64.76689
TEST_0078,44.707462
TEST_0079,187.44461
TEST_0080,174.03084
TEST_0081,137.27919
TEST_0082,92.37233
TEST_0083,102.35893
TEST_0084,58.334682
TEST_0085,179.45303
TEST_0086,126.63641
TEST_0087,17.66567
TEST_0088,144.64104
TEST_0089,42.017014
TEST_0090,39.590115
TEST_0091,36.85216
TEST_0092,25.342964
TEST_0093,196.13368
TEST_0094,4.443029
TEST_0095,10.595829
TEST_0096,239.11826
TEST_0097,140.48332
TEST_0098,188.28806
TEST_0099,172.78462
TEST_0100,12.043773
TEST_0101,99.67546
TEST_0102,186.9539
TEST_0103,169.677
TEST_0104,63.108032
TEST_0105,167.69191
TEST_0106,36.63914
TEST_0107,20.52584
TEST_0108,185.55775
TEST_0109,29.195024
TEST_0110,110.60628
TEST_0111,185.00041
TEST_0112,48.46648
TEST_0113,144.7721
TEST_0114,57.095913
TEST_0115,82.27169
TEST_0116,79.951546
TEST_0117,65.15865
TEST_0118,14.076591
TEST_0119,6.903688
TEST_0120,185.43849
TEST_0121,48.976994
TEST_0122,43.668137
TEST_0123,19.525608
TEST_0124,32.462982
TEST_0125,100.59376
TEST_0126,47.144623
TEST_0127,55.264046
TEST_0128,103.94195
TEST_0129,77.46859
TEST_0130,59.869534
TEST_0131,191.02365
TEST_0132,69.04074
TEST_0133,134.63513
TEST_0134,105.38622
TEST_0135,71.74127
TEST_0136,72.67883
TEST_0137,64.689674
TEST_0138,173.14406
TEST_0139,22.916538
TEST_0140,122.75612
TEST_0141,16.214622
TEST_0142,110.52841
TEST_0143,42.01446
TEST_0144,11.683698
TEST_0145,32.824085
TEST_0146,161.94139
TEST_0147,83.26636
TEST_0148,119.64109
TEST_0149,87.063866
TEST_0150,42.270504
TEST_0151,81.286934
TEST_0152,70.71638
TEST_0153,19.68169
TEST_0154,93.96231
TEST_0155,55.454063
TEST_0156,130.33258
TEST_0157,38.763977
TEST_0158,198.36584
TEST_0159,40.625854
TEST_0160,128.55484
TEST_0161,101.76595
TEST_0162,115.60309
TEST_0163,141.12329
TEST_0164,56.75589
TEST_0165,31.66249
TEST_0166,41.25603
TEST_0167,131.11227
TEST_0168,202.16733
TEST_0169,110.764725
TEST_0170,73.61413
TEST_0171,77.11012
TEST_0172,5.4588385
TEST_0173,82.17151
TEST_0174,15.920622
TEST_0175,49.035854
TEST_0176,8.883437
TEST_0177,60.337296
TEST_0178,176.13396
TEST_0179,183.88783
TEST_0180,45.88196
TEST_0181,81.934654
TEST_0182,66.30248
TEST_0183,116.769485
TEST_0184,127.21384
TEST_0185,83.74991
TEST_0186,12.05534
TEST_0187,47.454807
TEST_0188,158.70662
TEST_0189,6.500544
TEST_0190,41.276363
TEST_0191,7.1713285
TEST_0192,155.29556
TEST_0193,42.62254
TEST_0194,175.67827
TEST_0195,102.40635
TEST_0196,6.5256324
TEST_0197,207.02028
TEST_0198,4.0872083
TEST_0199,9.1834345
TEST_0200,9.060044
TEST_0201,130.48248
TEST_0202,23.038933
TEST_0203,40.615547
TEST_0204,96.04053
TEST_0205,90.24317
TEST_0206,149.69344
TEST_0207,82.4761
TEST_0208,14.841864
TEST_0209,65.86081
TEST_0210,61.45688
TEST_0211,194.26553
TEST_0212,167.73305
TEST_0213,17.03615
TEST_0214,50.42431
TEST_0215,62.95378
TEST_0216,85.52088
TEST_0217,139.77562
TEST_0218,40.409973
TEST_0219,98.08519
TEST_0220,169.46396
TEST_0221,65.526085
TEST_0222,136.31596
TEST_0223,190.20209
TEST_0224,79.0067
TEST_0225,31.796043
TEST_0226,64.76379
TEST_0227,137.45377
TEST_0228,57.616844
TEST_0229,6.6635127
TEST_0230,58.313663
TEST_0231,49.62209
TEST_0232,64.66814
TEST_0233,76.553986
TEST_0234,12.776432
TEST_0235,50.55624
TEST_0236,128.99709
TEST_0237,18.561256
TEST_0238,147.0398
TEST_0239,20.62566
TEST_0240,16.54291
TEST_0241,191.0271
TEST_0242,89.52366
TEST_0243,10.203351
TEST_0244,43.587414
TEST_0245,71.2232
TEST_0246,45.4986
TEST_0247,115.97368
TEST_0248,44.119858
TEST_0249,18.757294
TEST_0250,52.704853
TEST_0251,91.42965
TEST_0252,35.536476
TEST_0253,106.42547
TEST_0254,110.8128
TEST_0255,32.037018
TEST_0256,8.065586
TEST_0257,104.2963
TEST_0258,135.64217
TEST_0259,18.934298
TEST_0260,20.101835
TEST_0261,69.66523
TEST_0262,52.654037
TEST_0263,17.044884
TEST_0264,25.77602
TEST_0265,2.335304
TEST_0266,58.214737
TEST_0267,20.378681
TEST_0268,64.41202
TEST_0269,184.75818
TEST_0270,98.6321
TEST_0271,135.9711
TEST_0272,18.049522
TEST_0273,147.77786
TEST_0274,21.579247
TEST_0275,55.973667
TEST_0276,81.65573
TEST_0277,150.76721
TEST_0278,7.4334946
TEST_0279,63.14687
TEST_0280,181.50377
TEST_0281,105.25137
TEST_0282,34.16164
TEST_0283,15.90659
TEST_0284,178.62352
TEST_0285,45.597218
TEST_0286,39.182888
TEST_0287,52.047256
TEST_0288,103.16994
TEST_0289,51.62346
TEST_0290,174.9984
TEST_0291,39.409725
TEST_0292,73.25522
TEST_0293,44.70056
TEST_0294,136.3577
TEST_0295,35.758842
TEST_0296,76.89266
TEST_0297,129.56514
TEST_0298,137.43398
TEST_0299,189.21526
TEST_0300,225.17934
TEST_0301,3.4321127
TEST_0302,228.12456
TEST_0303,108.27427
TEST_0304,66.89123
TEST_0305,141.06691
TEST_0306,56.429184
TEST_0307,212.7268
TEST_0308,184.56569
TEST_0309,143.05551
TEST_0310,86.26304
TEST_0311,36.357185
TEST_0312,169.35246
TEST_0313,81.05799
TEST_0314,186.1903
