ID,Calories_Burned
TEST_0000,173
TEST_0001,189
TEST_0002,53
TEST_0003,161
TEST_0004,226
TEST_0005,179
TEST_0006,98
TEST_0007,44
TEST_0008,79
TEST_0009,59
TEST_0010,123
TEST_0011,55
TEST_0012,14
TEST_0013,177
TEST_0014,229
TEST_0015,13
TEST_0016,98
TEST_0017,130
TEST_0018,158
TEST_0019,7
TEST_0020,50
TEST_0021,90
TEST_0022,25
TEST_0023,87
TEST_0024,20
TEST_0025,128
TEST_0026,105
TEST_0027,189
TEST_0028,121
TEST_0029,100
TEST_0030,25
TEST_0031,244
TEST_0032,55
TEST_0033,47
TEST_0034,133
TEST_0035,113
TEST_0036,38
TEST_0037,129
TEST_0038,11
TEST_0039,130
TEST_0040,201
TEST_0041,168
TEST_0042,146
TEST_0043,60
TEST_0044,68
TEST_0045,53
TEST_0046,78
TEST_0047,198
TEST_0048,139
TEST_0049,125
TEST_0050,11
TEST_0051,112
TEST_0052,158
TEST_0053,92
TEST_0054,69
TEST_0055,86
TEST_0056,160
TEST_0057,18
TEST_0058,31
TEST_0059,96
TEST_0060,39
TEST_0061,109
TEST_0062,90
TEST_0063,51
TEST_0064,34
TEST_0065,136
TEST_0066,231
TEST_0067,126
TEST_0068,102
TEST_0069,45
TEST_0070,125
TEST_0071,26
TEST_0072,9
TEST_0073,152
TEST_0074,32
TEST_0075,91
TEST_0076,64
TEST_0077,66
TEST_0078,45
TEST_0079,187
TEST_0080,174
TEST_0081,137
TEST_0082,90
TEST_0083,102
TEST_0084,56
TEST_0085,179
TEST_0086,125
TEST_0087,18
TEST_0088,145
TEST_0089,42
TEST_0090,41
TEST_0091,37
TEST_0092,24
TEST_0093,196
TEST_0094,5
TEST_0095,10
TEST_0096,239
TEST_0097,140
TEST_0098,186
TEST_0099,174
TEST_0100,13
TEST_0101,99
TEST_0102,188
TEST_0103,166
TEST_0104,64
TEST_0105,167
TEST_0106,37
TEST_0107,21
TEST_0108,189
TEST_0109,30
TEST_0110,111
TEST_0111,186
TEST_0112,47
TEST_0113,147
TEST_0114,56
TEST_0115,81
TEST_0116,79
TEST_0117,64
TEST_0118,14
TEST_0119,7
TEST_0120,186
TEST_0121,48
TEST_0122,43
TEST_0123,20
TEST_0124,32
TEST_0125,100
TEST_0126,47
TEST_0127,55
TEST_0128,103
TEST_0129,78
TEST_0130,60
TEST_0131,194
TEST_0132,69
TEST_0133,135
TEST_0134,104
TEST_0135,72
TEST_0136,72
TEST_0137,65
TEST_0138,176
TEST_0139,23
TEST_0140,123
TEST_0141,16
TEST_0142,112
TEST_0143,42
TEST_0144,11
TEST_0145,33
TEST_0146,165
TEST_0147,83
TEST_0148,120
TEST_0149,86
TEST_0150,42
TEST_0151,82
TEST_0152,70
TEST_0153,20
TEST_0154,93
TEST_0155,55
TEST_0156,129
TEST_0157,39
TEST_0158,199
TEST_0159,40
TEST_0160,129
TEST_0161,101
TEST_0162,115
TEST_0163,139
TEST_0164,57
TEST_0165,32
TEST_0166,42
TEST_0167,133
TEST_0168,202
TEST_0169,112
TEST_0170,74
TEST_0171,76
TEST_0172,6
TEST_0173,84
TEST_0174,16
TEST_0175,48
TEST_0176,5
TEST_0177,61
TEST_0178,176
TEST_0179,180
TEST_0180,45
TEST_0181,83
TEST_0182,68
TEST_0183,116
TEST_0184,127
TEST_0185,84
TEST_0186,12
TEST_0187,47
TEST_0188,157
TEST_0189,6
TEST_0190,41
TEST_0191,7
TEST_0192,158
TEST_0193,42
TEST_0194,175
TEST_0195,104
TEST_0196,6
TEST_0197,212
TEST_0198,4
TEST_0199,9
TEST_0200,9
TEST_0201,131
TEST_0202,22
TEST_0203,41
TEST_0204,99
TEST_0205,91
TEST_0206,149
