ID,Calories_Burned
TEST_0000,173.0051
TEST_0001,189.4128
TEST_0002,52.9736
TEST_0003,162.1041
TEST_0004,227.7811
TEST_0005,176.4647
TEST_0006,99.1475
TEST_0007,43.5015
TEST_0008,78.8486
TEST_0009,59.3751
TEST_0010,124.0873
TEST_0011,54.6266
TEST_0012,13.8479
TEST_0013,177.2762
TEST_0014,230.0114
TEST_0015,13.3099
TEST_0016,98.1852
TEST_0017,131.8285
TEST_0018,157.8515
TEST_0019,7.0736
TEST_0020,50.1949
TEST_0021,91.9046
TEST_0022,25.0433
TEST_0023,87.7065
TEST_0024,20.0796
TEST_0025,129.2593
TEST_0026,105.682
TEST_0027,188.5595
TEST_0028,121.1003
TEST_0029,99.3142
TEST_0030,24.8223
TEST_0031,244.1094
TEST_0032,55.0675
TEST_0033,46.8622
TEST_0034,131.9247
TEST_0035,113.9751
TEST_0036,36.9531
TEST_0037,128.8325
TEST_0038,11.2288
TEST_0039,129.3122
TEST_0040,198.7967
TEST_0041,169.1282
TEST_0042,145.2913
TEST_0043,59.2916
TEST_0044,67.0447
TEST_0045,52.2036
TEST_0046,77.3922
TEST_0047,200.2753
TEST_0048,139.268
TEST_0049,125.7805
TEST_0050,11.323
TEST_0051,111.9727
TEST_0052,159.9504
TEST_0053,94.1201
TEST_0054,69.0023
TEST_0055,88.0261
TEST_0056,162.0257
TEST_0057,18.0843
TEST_0058,31.0295
TEST_0059,96.4413
TEST_0060,38.8373
TEST_0061,108.9456
TEST_0062,89.6615
TEST_0063,51.0556
TEST_0064,33.8666
TEST_0065,136.0798
TEST_0066,231.6916
TEST_0067,126.2543
TEST_0068,100.6838
TEST_0069,44.719
TEST_0070,125.6483
TEST_0071,26.4629
TEST_0072,9.215
TEST_0073,151.705
TEST_0074,33.1793
TEST_0075,91.0882
TEST_0076,64.1329
TEST_0077,66.0353
TEST_0078,44.2237
TEST_0079,188.7051
TEST_0080,175.518
TEST_0081,137.3338
TEST_0082,91.5717
TEST_0083,103.0048
TEST_0084,56.784
TEST_0085,180.5952
TEST_0086,127.5388
TEST_0087,17.7362
TEST_0088,144.5357
TEST_0089,41.9149
TEST_0090,39.7298
TEST_0091,36.6832
TEST_0092,24.4925
TEST_0093,196.4925
TEST_0094,4.7159
TEST_0095,10.0916
TEST_0096,236.7108
TEST_0097,138.1584
TEST_0098,186.2336
TEST_0099,171.4839
TEST_0100,12.8528
TEST_0101,99.0086
TEST_0102,187.9015
TEST_0103,164.1025
TEST_0104,64.5295
TEST_0105,166.9805
TEST_0106,37.2081
TEST_0107,20.6929
TEST_0108,187.5125
TEST_0109,29.3676
TEST_0110,111.769
TEST_0111,184.4781
TEST_0112,47.5982
TEST_0113,147.0186
TEST_0114,56.0476
TEST_0115,82.0559
TEST_0116,79.7492
TEST_0117,64.1709
TEST_0118,14.244
TEST_0119,6.8541
TEST_0120,186.5699
TEST_0121,48.4958
TEST_0122,42.8861
TEST_0123,20.0063
TEST_0124,31.9484
TEST_0125,99.0703
TEST_0126,47.5625
TEST_0127,53.6413
TEST_0128,103.445
TEST_0129,76.9693
TEST_0130,60.3428
TEST_0131,193.8832
TEST_0132,69.1575
TEST_0133,137.2686
TEST_0134,103.2793
TEST_0135,72.4689
TEST_0136,73.0292
TEST_0137,64.8551
TEST_0138,178.1005
TEST_0139,22.2387
TEST_0140,118.6062
TEST_0141,16.1641
TEST_0142,111.5007
TEST_0143,42.0728
TEST_0144,11.5824
TEST_0145,32.9159
TEST_0146,164.4472
TEST_0147,83.0253
TEST_0148,120.6782
TEST_0149,86.7461
TEST_0150,42.0133
TEST_0151,81.7499
TEST_0152,69.797
TEST_0153,19.705
TEST_0154,94.4021
TEST_0155,55.4738
TEST_0156,130.3286
TEST_0157,39.5592
TEST_0158,198.5331
TEST_0159,40.239
TEST_0160,128.2435
TEST_0161,101.099
TEST_0162,115.2362
TEST_0163,142.7758
TEST_0164,56.5915
TEST_0165,32.3249
TEST_0166,41.7312
TEST_0167,132.7959
TEST_0168,202.733
TEST_0169,112.284
TEST_0170,73.4672
TEST_0171,77.1507
TEST_0172,5.3062
TEST_0173,83.5432
TEST_0174,15.4116
TEST_0175,47.9134
TEST_0176,7.8735
TEST_0177,61.6632
TEST_0178,177.1582
TEST_0179,181.574
TEST_0180,45.2509
TEST_0181,82.7354
TEST_0182,67.7716
TEST_0183,117.5672
TEST_0184,127.687
TEST_0185,83.5788
TEST_0186,11.9641
