ID,Calories_Burned
TEST_0000,173.6751
TEST_0001,189.6373
TEST_0002,53.0423
TEST_0003,162.2627
TEST_0004,226.1494
TEST_0005,177.6274
TEST_0006,98.5489
TEST_0007,43.6563
TEST_0008,79.0474
TEST_0009,59.2681
TEST_0010,124.1455
TEST_0011,55.1455
TEST_0012,13.7313
TEST_0013,177.3618
TEST_0014,229.5266
TEST_0015,13.276
TEST_0016,97.8985
TEST_0017,131.5887
TEST_0018,157.506
TEST_0019,7.0542
TEST_0020,50.4456
TEST_0021,91.5357
TEST_0022,25.3298
TEST_0023,87.4192
TEST_0024,19.9387
TEST_0025,129.5932
TEST_0026,105.7192
TEST_0027,189.0735
TEST_0028,119.9773
TEST_0029,99.6296
TEST_0030,24.7385
TEST_0031,244.0832
TEST_0032,55.2507
TEST_0033,47.4189
TEST_0034,132.5484
TEST_0035,114.1856
TEST_0036,37.0736
TEST_0037,128.6682
TEST_0038,11.0943
TEST_0039,129.3775
TEST_0040,197.7168
TEST_0041,169.2298
TEST_0042,144.9309
TEST_0043,59.3982
TEST_0044,67.6978
TEST_0045,52.509
TEST_0046,77.531
TEST_0047,199.3699
TEST_0048,139.3226
TEST_0049,126.1126
TEST_0050,11.3709
TEST_0051,112.0102
TEST_0052,159.8016
TEST_0053,94.2912
TEST_0054,69.0494
TEST_0055,88.0386
TEST_0056,160.9822
TEST_0057,18.3651
TEST_0058,31.073
TEST_0059,96.592
TEST_0060,38.7717
TEST_0061,108.5373
TEST_0062,89.8046
TEST_0063,51.0795
TEST_0064,33.8414
TEST_0065,135.8667
TEST_0066,231.5575
TEST_0067,125.8635
TEST_0068,100.94
TEST_0069,44.5202
TEST_0070,125.1572
TEST_0071,26.086
TEST_0072,9.1893
TEST_0073,151.604
TEST_0074,33.1678
TEST_0075,91.1194
TEST_0076,63.9828
TEST_0077,66.6866
TEST_0078,44.7783
TEST_0079,188.5843
TEST_0080,175.5061
TEST_0081,136.8525
TEST_0082,91.1795
TEST_0083,102.2336
TEST_0084,56.3326
TEST_0085,180.4764
TEST_0086,127.3103
TEST_0087,17.6634
TEST_0088,144.7667
TEST_0089,42.1488
TEST_0090,40.3019
TEST_0091,37.0388
TEST_0092,24.4669
TEST_0093,196.3612
TEST_0094,4.6093
TEST_0095,10.1697
TEST_0096,237.2122
TEST_0097,138.0442
TEST_0098,186.5241
TEST_0099,171.2487
TEST_0100,12.623
TEST_0101,98.6313
TEST_0102,187.6608
TEST_0103,162.9386
TEST_0104,64.6384
TEST_0105,166.3432
TEST_0106,37.1967
TEST_0107,20.6709
TEST_0108,187.1087
TEST_0109,29.4965
TEST_0110,111.6026
TEST_0111,184.9478
TEST_0112,47.6709
TEST_0113,146.8828
TEST_0114,56.3008
TEST_0115,81.8171
TEST_0116,79.7619
TEST_0117,63.8372
TEST_0118,14.1959
TEST_0119,6.7736
TEST_0120,186.0654
TEST_0121,48.2617
TEST_0122,42.6229
TEST_0123,20.0725
TEST_0124,31.9775
TEST_0125,99.9115
TEST_0126,47.4984
TEST_0127,53.7656
TEST_0128,104.1079
TEST_0129,77.1028
TEST_0130,60.3984
TEST_0131,193.1423
TEST_0132,69.0149
TEST_0133,136.505
TEST_0134,103.8743
TEST_0135,72.6615
TEST_0136,72.9554
TEST_0137,65.1516
TEST_0138,178.4209
TEST_0139,22.545
TEST_0140,119.7243
TEST_0141,16.3222
TEST_0142,111.5012
TEST_0143,41.9154
TEST_0144,11.562
TEST_0145,32.8546
TEST_0146,165.2424
TEST_0147,83.0068
TEST_0148,120.9015
TEST_0149,86.5006
TEST_0150,41.9042
TEST_0151,81.011
TEST_0152,69.7558
TEST_0153,19.6486
TEST_0154,94.3385
TEST_0155,55.2414
TEST_0156,130.2378
TEST_0157,39.5076
TEST_0158,198.6192
TEST_0159,40.0739
TEST_0160,128.1265
TEST_0161,100.4357
TEST_0162,115.6257
TEST_0163,142.5216
TEST_0164,56.8585
TEST_0165,32.0005
TEST_0166,41.8648
TEST_0167,132.7587
TEST_0168,203.63
TEST_0169,112.0132
TEST_0170,73.2679
TEST_0171,76.8759
TEST_0172,5.345
TEST_0173,82.7141
TEST_0174,15.6603
TEST_0175,47.9904
TEST_0176,8.0054
TEST_0177,61.4568
TEST_0178,176.0569
TEST_0179,181.6542
TEST_0180,45.2116
TEST_0181,82.8095
TEST_0182,67.7045
TEST_0183,117.559
TEST_0184,127.4964
TEST_0185,83.6756
TEST_0186,11.9683
TEST_0187,46.2299
TEST_0188,158.2119
TEST_0189,6.1759
TEST_0190,40.992
TEST_0191,6.9029
TEST_0192,161.8675
TEST_0193,42.1184
TEST_0194,174.8674
TEST_0195,101.9716
TEST_0196,6.1217
TEST_0197,213.8311
TEST_0198,4.0745
TEST_0199,8.8649
TEST_0200,8.8685
TEST_0201,131.9684
TEST_0202,21.2107
TEST_0203,40.4443
TEST_0204,98.5335
TEST_0205,90.2331
TEST_0206,149.7035
TEST_0207,83.4179
TEST_0208,14.8975
TEST_0209,66.3769
TEST_0210,61.4733
TEST_0211,195.8665
TEST_0212,166.1459
TEST_0213,16.9745
TEST_0214,50.6408
TEST_0215,61.7014
TEST_0216,86.5255
TEST_0217,140.7522
TEST_0218,40.0321
TEST_0219,97.9061
TEST_0220,172.2012
TEST_0221,66.3463
TEST_0222,138.1378
TEST_0223,190.0561
TEST_0224,79.8748
TEST_0225,30.7436
TEST_0226,65.7378
TEST_0227,135.1108
TEST_0228,57.4788
TEST_0229,6.296
TEST_0230,57.5688
TEST_0231,49.8186
TEST_0232,64.2774
TEST_0233,78.5281
TEST_0234,12.7702
TEST_0235,49.0128
TEST_0236,129.3205
TEST_0237,18.7278
TEST_0238,148.1259
TEST_0239,20.4935
TEST_0240,17.0351
TEST_0241,194.2477
TEST_0242,86.4797
TEST_0243,10.9977
TEST_0244,42.5058
TEST_0245,70.2465
TEST_0246,44.9565
TEST_0247,116.9858
TEST_0248,43.8725
TEST_0249,18.4427
TEST_0250,52.9231
TEST_0251,92.203
TEST_0252,36.286
TEST_0253,108.3198
TEST_0254,111.8961
TEST_0255,31.5412
TEST_0256,8.6258
TEST_0257,101.4889
TEST_0258,136.8073
TEST_0259,19.1336
TEST_0260,20.8929
TEST_0261,71.0368
TEST_0262,51.7683
TEST_0263,18.0953
TEST_0264,25.9758
TEST_0265,2.6107
TEST_0266,57.3636
TEST_0267,20.3937
TEST_0268,64.0816
TEST_0269,186.9354
TEST_0270,99.2996
TEST_0271,133.3492
TEST_0272,18.6515
TEST_0273,147.4428
TEST_0274,21.663
TEST_0275,57.298
TEST_0276,81.5635
TEST_0277,150.6899
TEST_0278,7.1756
TEST_0279,62.0506
TEST_0280,179.5803
TEST_0281,105.1461
TEST_0282,33.2551
TEST_0283,15.8985
TEST_0284,180.7278
TEST_0285,45.6684
TEST_0286,39.6338
TEST_0287,51.9354
TEST_0288,104.5062
TEST_0289,53.2557
TEST_0290,175.6422
TEST_0291,38.1343
