ID,Calories_Burned
TEST_0000,172.8336
TEST_0001,189.0289
TEST_0002,52.9893
TEST_0003,162.4405
TEST_0004,225.311
TEST_0005,177.7872
TEST_0006,98.5085
TEST_0007,43.5933
TEST_0008,78.2498
TEST_0009,59.338
TEST_0010,124.2195
TEST_0011,54.5873
TEST_0012,13.8526
TEST_0013,177.343
TEST_0014,229.2485
TEST_0015,13.3298
TEST_0016,98.3341
TEST_0017,131.8696
TEST_0018,157.123
TEST_0019,6.9931
TEST_0020,50.538
TEST_0021,91.7264
TEST_0022,25.4617
TEST_0023,87.5861
TEST_0024,20.0587
TEST_0025,129.1631
TEST_0026,105.3741
TEST_0027,189.8585
TEST_0028,120.8013
TEST_0029,99.8247
TEST_0030,24.6361
TEST_0031,244.0347
TEST_0032,54.9931
TEST_0033,47.3326
TEST_0034,132.1452
TEST_0035,113.3927
TEST_0036,37.0114
TEST_0037,129.1087
TEST_0038,11.0768
TEST_0039,129.562
TEST_0040,199.6196
TEST_0041,168.8757
TEST_0042,145.3119
TEST_0043,59.1613
TEST_0044,67.7291
TEST_0045,52.2153
TEST_0046,77.3412
TEST_0047,199.331
TEST_0048,138.6476
TEST_0049,125.9355
TEST_0050,11.1843
TEST_0051,111.636
TEST_0052,159.3613
TEST_0053,94.3112
TEST_0054,68.8655
TEST_0055,88.0201
TEST_0056,160.6887
TEST_0057,18.2657
TEST_0058,30.9861
TEST_0059,96.2753
TEST_0060,38.6841
TEST_0061,108.8027
TEST_0062,89.2048
TEST_0063,51.1686
TEST_0064,33.9578
TEST_0065,136.8696
TEST_0066,231.9492
TEST_0067,125.0616
TEST_0068,101.118
TEST_0069,45.209
TEST_0070,125.9466
TEST_0071,26.2111
TEST_0072,9.2873
TEST_0073,152.3247
TEST_0074,33.7325
TEST_0075,91.0415
TEST_0076,64.1547
TEST_0077,66.2315
TEST_0078,44.5033
TEST_0079,186.7888
TEST_0080,174.5259
TEST_0081,136.9675
TEST_0082,92.1348
TEST_0083,102.9588
TEST_0084,56.0988
TEST_0085,180.0679
TEST_0086,127.0454
TEST_0087,17.7277
TEST_0088,145.16
TEST_0089,41.802
TEST_0090,40.1907
TEST_0091,36.8535
TEST_0092,24.4212
TEST_0093,196.8668
TEST_0094,4.7129
TEST_0095,10.1171
TEST_0096,237.2109
TEST_0097,139.3642
TEST_0098,186.8941
TEST_0099,171.0922
TEST_0100,12.8242
TEST_0101,98.1072
TEST_0102,187.8819
TEST_0103,163.4023
TEST_0104,64.6987
TEST_0105,166.6803
TEST_0106,37.2616
TEST_0107,20.4303
TEST_0108,186.7458
TEST_0109,29.8681
TEST_0110,111.7156
TEST_0111,184.756
TEST_0112,47.6851
TEST_0113,147.2105
TEST_0114,56.2257
TEST_0115,82.1274
TEST_0116,80.1272
TEST_0117,64.0802
TEST_0118,14.3305
TEST_0119,6.8076
TEST_0120,186.627
TEST_0121,48.6026
TEST_0122,42.4424
TEST_0123,19.9737
TEST_0124,31.9344
TEST_0125,99.6945
TEST_0126,47.5079
TEST_0127,53.9376
TEST_0128,104.1266
TEST_0129,77.1416
TEST_0130,60.2804
TEST_0131,194.0247
TEST_0132,68.9537
TEST_0133,136.3038
TEST_0134,103.9623
TEST_0135,72.4397
TEST_0136,73.5376
TEST_0137,65.3371
TEST_0138,178.8293
TEST_0139,22.2383
TEST_0140,118.7055
TEST_0141,16.266
TEST_0142,111.4009
TEST_0143,41.4463
TEST_0144,11.6336
TEST_0145,32.5333
TEST_0146,164.2622
TEST_0147,83.3682
TEST_0148,119.9712
TEST_0149,86.7809
TEST_0150,42.0715
TEST_0151,81.4541
TEST_0152,69.7629
TEST_0153,19.7127
TEST_0154,94.6454
TEST_0155,55.4021
TEST_0156,130.1717
TEST_0157,39.324
TEST_0158,199.456
TEST_0159,40.3969
TEST_0160,127.5756
TEST_0161,100.7356
TEST_0162,115.3063
TEST_0163,142.6972
TEST_0164,56.6133
TEST_0165,32.3632
TEST_0166,41.8955
TEST_0167,131.8982
TEST_0168,203.0199
TEST_0169,112.916
TEST_0170,73.4768
TEST_0171,76.2374
TEST_0172,5.4082
TEST_0173,83.3367
TEST_0174,15.6208
TEST_0175,47.9608
TEST_0176,7.8411
TEST_0177,61.5634
TEST_0178,175.9321
TEST_0179,181.9367
TEST_0180,44.9852
TEST_0181,82.2555
TEST_0182,67.7443
TEST_0183,117.5205
TEST_0184,127.0478
TEST_0185,83.226
TEST_0186,11.9971
TEST_0187,46.1222
TEST_0188,158.4901
TEST_0189,6.1638
TEST_0190,41.2017
TEST_0191,6.8881
TEST_0192,161.4287
TEST_0193,41.92
TEST_0194,174.1233
TEST_0195,102.4645
TEST_0196,5.9822
TEST_0197,212.8828
TEST_0198,4.1579
TEST_0199,8.9393
TEST_0200,8.9099
TEST_0201,130.9886
TEST_0202,21.3382
TEST_0203,40.8847
TEST_0204,98.4924
TEST_0205,90.6939
TEST_0206,148.65
TEST_0207,83.21
TEST_0208,14.8331
TEST_0209,66.4959
TEST_0210,61.9277
TEST_0211,196.2439
TEST_0212,165.7967
TEST_0213,17.0951
TEST_0214,50.3649
TEST_0215,61.344
TEST_0216,86.8062
TEST_0217,141.0609
TEST_0218,40.0932
TEST_0219,97.9819
TEST_0220,171.7659
TEST_0221,66.3331
TEST_0222,138.1132
TEST_0223,190.5262
TEST_0224,79.8169
TEST_0225,30.8981
TEST_0226,65.9798
TEST_0227,134.3834
TEST_0228,57.3964
TEST_0229,5.9602
TEST_0230,57.2346
TEST_0231,49.9294
TEST_0232,64.6864
TEST_0233,78.7443
TEST_0234,12.6106
TEST_0235,49.1001
TEST_0236,128.2586
TEST_0237,18.6619
TEST_0238,148.0054
TEST_0239,20.4458
TEST_0240,17.0478
TEST_0241,194.9655
TEST_0242,87.4222
TEST_0243,11.1382
TEST_0244,42.5813
TEST_0245,70.6027
TEST_0246,44.9301
TEST_0247,116.7504
TEST_0248,43.5767
TEST_0249,18.4481
TEST_0250,52.8422
TEST_0251,92.6981
TEST_0252,36.1314
TEST_0253,107.625
TEST_0254,111.958
TEST_0255,31.8541
TEST_0256,8.6327
TEST_0257,102.1452
TEST_0258,136.7308
TEST_0259,19.0774
TEST_0260,20.7926
TEST_0261,70.9959
TEST_0262,51.7394
TEST_0263,18.013
TEST_0264,25.7941
TEST_0265,2.519
TEST_0266,56.6954
TEST_0267,20.4228
TEST_0268,64.2913
TEST_0269,186.664
TEST_0270,99.3218
TEST_0271,132.8244
